,CouncilDistrictCode,DataYear,ENERGYSTARScore,Electricity(kBtu),Electricity(kWh),GHGEmissionsIntensity,LargestPropertyUseTypeGFA,Latitude,Longitude,NaturalGas(kBtu),NaturalGas(therms),NumberofBuildings,NumberofFloors,OSEBuildingID,PropertyGFABuilding(s),PropertyGFAParking,PropertyGFATotal,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SteamUse(kBtu),TotalGHGEmissions,YearBuilt,ZipCode
3241,7.0,2016.0,34.0,7681559.0,2251336.25,1.18,180993.0,47.61105,-122.34091000000001,4270385.0,42703.84766,1.0,25.0,49873.0,237186.0,,237186.0,66.0,68.09999847,11951945.0,12332987.0,158.0,160.1999969,,280.35,2014.0,98101.0
3242,3.0,2016.0,93.0,1296273.0,379915.9063,0.56,63663.0,47.62993,-122.32054,819393.0,8193.929688,1.0,3.0,49874.0,93179.0,,93179.0,33.20000076,34.5,2115666.0,2197760.75,77.40000153,80.19999695,,52.55,2014.0,98102.0
3243,6.0,2016.0,100.0,5851607.0,1715007.875,0.91,225965.0,47.68055,-122.32337,4233343.0,42333.42578,4.0,6.0,49889.0,292376.0,,292376.0,36.29999924,37.59999847,10084950.0,10432562.0,82.19999695,84.59999847,,265.63,2014.0,98115.0
3244,1.0,2016.0,98.0,1818637.0,533012.125,0.57,70584.0,47.562709999999996,-122.38516000000001,1229680.0,12296.7998,1.0,7.0,49892.0,137068.0,,137068.0,43.20000076,45.0,3048317.5,3177586.75,99.19999695,104.1999969,,77.99,2014.0,98116.0
3245,3.0,2016.0,76.0,1827863.0,535715.875,0.91,61582.0,47.61499,-122.31795,1516970.0,15169.7002,1.0,7.0,49893.0,99700.0,3400.0,103100.0,50.09999847,52.40000153,3344833.0,3496647.25,109.8000031,115.6999969,,93.31,2014.0,98122.0
3246,5.0,2016.0,100.0,5436741.0,1593417.75,0.44,302864.0,47.73123,-122.29307,3000659.0,30006.5918,3.0,6.0,49894.0,447915.0,,447915.0,27.0,28.39999962,8437401.0,8877181.0,64.69999695,68.40000153,,197.27,2014.0,98125.0
3247,4.0,2016.0,100.0,1327214.0,388984.0938,0.73,94250.0,47.67435,-122.31643999999999,997550.0,9975.5,1.0,6.0,49895.0,84891.0,,84891.0,24.70000076,25.70000076,2324764.0,2420332.0,55.29999924,57.70000076,,62.23,2014.0,98115.0
3248,7.0,2016.0,98.0,632280.0,185310.5938,0.99,47343.0,47.61408,-122.34428,798077.0,7980.77002,1.0,7.0,49896.0,47343.0,,47343.0,30.20000076,31.39999962,1430356.75,1485564.5,59.59999847,60.90000153,,46.79,2014.0,98121.0
3249,2.0,2016.0,63.0,1572698.0,460931.5,0.28,55751.0,47.57703,-122.29751,212098.0,2120.97998,1.0,5.0,49897.0,78756.0,,78756.0,32.0,33.5,1784796.5,1867807.625,92.59999847,97.19999695,,22.23,2014.0,98144.0
3250,6.0,2016.0,99.0,6815375.0,1997472.125,0.41,275443.0,47.669270000000004,-122.37683,2526051.0,25260.50977,1.0,8.0,49901.0,439262.0,,439262.0,32.0,32.20000076,9341427.0,9412271.0,82.40000153,82.69999695,,181.67,2014.0,98107.0
